id,label,articles,query,source_file,gpt-4o-mini retrieved paragraphs
R02-1-I,N,['15'],The issuance of a decision for commencement of assistance at the request of a person other than the person in question requires the consent of the person in question unless the family court finds it to be suitable.,riteval_R02_en.xml,"['15', '17', '18']"
R02-1-U,N,['18'],"If the grounds of commencement of assistance cease to exist, the family court may rescind the decision for commencement of assistance without any party's request.",riteval_R02_en.xml,['18']
R02-1-E,Y,['17'],"If the assistant does not consent to an act for which the person under assistance must obtain the assistant's consent even though it is unlikely to prejudice the interests of the person under assistance, the family court may grant permission that operates in lieu of the assistant's consent, at the request of the person under assistance.",riteval_R02_en.xml,"['17', '15', '19', '13']"
R02-2-E,N,['35'],A foreign juridical person permitted possesses the same private rights even if a foreign national is not entitled to enjoy the rights as those possessed by a juridical person of the same kind that has been formed in Japan.,riteval_R02_en.xml,['36']
R02-3-A,N,['95'],"With respect to the rescission of a manifestation of intention on the ground of a mistake, whether the mistake is material or not is decided on the basis of the person making the manifestation of intention.",riteval_R02_en.xml,"['95', '101']"
R02-3-I,N,['120'],"If an act that may be rescinded by a person (A) who made the defective manifestation of intention on the ground of A's mistake, the act is also voidable by the counterparty (B).",riteval_R02_en.xml,"['95', '120', '101', '124']"
R02-3-U,Y,['121-2'],"If a gift without burden was rescinded on the ground of a mistake by the donor (A), but the donee (B) had already received the payment or delivery based on the gift contract, and B did not know at the time of receiving the payment or delivery that the gift contract was voidable, B has an obligation to return to the extent currently enriched.",riteval_R02_en.xml,"['121-2', '703', '425-2']"
R02-3-O,N,['95'],"In the case a manifestation of intention of A to B is based on a mistake and the mistake is due to gross negligence on the part of A, A may not rescind the manifestation of intention, unless B knew, or did not know due to gross negligence, of the mistake on the part of A.",riteval_R02_en.xml,"['95', '101', '93', '466-5']"
R02-4-A,N,['117'],"A, who acts as the agent of B, concluded a contract with C for sale of land owned by B. However, A had no authority to represent to conclude the contract. A is liable for the performance of the contract or compensation for loss or damage, as chosen by A.",riteval_R02_en.xml,"['117', '113', '115']"
R02-4-I,Y,['117'],"A, who acts as the agent of B, concluded a contract with C for sale of land owned by B. However, A had no authority to represent to conclude the contract. If B ratifies the contract of sales, A is not liable to C as an unauthorized agency.",riteval_R02_en.xml,"['113', '117', '115', '116']"
R02-4-U,N,['117'],"A, who acts as the agent of B, concluded a contract with C for sale of land owned by B. However, A had no authority to represent to conclude the contract. In the case that C was negligent in not knowing that A had no authority to represent, even if A knew themselves to have no authority to represent, A is not liable to C as an unauthorized agency.",riteval_R02_en.xml,"['113', '115', '112', '109']"
R02-5-A,Y,['166'],"A claim for damage due to non-performance is extinguished by prescription,if the obligee does not exercise the right within five years from the time when the obligee came to know that it was exercisable.",riteval_R02_en.xml,['126']
R02-5-I,N,['126'],"The right to rescind an act induced by fraud is extinguished by prescription, if the obligee does not exercise the right within five years from the time of the act.",riteval_R02_en.xml,"['126', '426', '424']"
R02-5-U,Y,['724'],"The claim for compensation for loss or damage in torts is extinguished by prescription, if the obligee does not exercise the right within 20 years from the time of the tortious act.",riteval_R02_en.xml,"['724', '724-2', '167']"
